station_id,easting,northing,elevation,tmi_nt
1,0.0,0.0,1000.0,-0.68
2,100.0,0.0,1000.0,-0.77
3,200.0,0.0,1000.0,0.07
4,300.0,0.0,1000.0,-1.72
5,400.0,0.0,1000.0,-2.98
6,500.0,0.0,1000.0,-0.55
7,600.0,0.0,1000.0,-2.04
8,700.0,0.0,1000.0,-0.68
9,800.0,0.0,1000.0,-1.46
10,900.0,0.0,1000.0,-2.01
11,1000.0,0.0,1000.0,-1.54
12,1100.0,0.0,1000.0,0.07
13,1200.0,0.0,1000.0,0.23
14,1300.0,0.0,1000.0,-1.72
15,1400.0,0.0,1000.0,-1.55
16,1500.0,0.0,1000.0,-0.54
17,1600.0,0.0,1000.0,-2.35
18,1700.0,0.0,1000.0,-1.05
19,1800.0,0.0,1000.0,-1.28
20,1900.0,0.0,1000.0,-0.82
21,2000.0,0.0,1000.0,-1.85
22,0.0,100.0,1000.0,-2.84
23,100.0,100.0,1000.0,-3.50
24,200.0,100.0,1000.0,-2.73
25,300.0,100.0,1000.0,-2.28
26,400.0,100.0,1000.0,-2.33
27,500.0,100.0,1000.0,-0.31
28,600.0,100.0,1000.0,-1.33
29,700.0,100.0,1000.0,-3.56
30,800.0,100.0,1000.0,-2.37
31,900.0,100.0,1000.0,-3.20
32,1000.0,100.0,1000.0,-3.11
33,1100.0,100.0,1000.0,-2.61
34,1200.0,100.0,1000.0,-2.10
35,1300.0,100.0,1000.0,-2.94
36,1400.0,100.0,1000.0,-1.37
37,1500.0,100.0,1000.0,-3.38
38,1600.0,100.0,1000.0,-2.03
39,1700.0,100.0,1000.0,0.77
40,1800.0,100.0,1000.0,-1.39
41,1900.0,100.0,1000.0,0.01
42,2000.0,100.0,1000.0,-1.16
43,0.0,200.0,1000.0,-0.95
44,100.0,200.0,1000.0,-1.84
45,200.0,200.0,1000.0,-2.25
46,300.0,200.0,1000.0,-3.19
47,400.0,200.0,1000.0,-2.34
48,500.0,200.0,1000.0,-3.99
49,600.0,200.0,1000.0,-2.84
50,700.0,200.0,1000.0,-2.75
51,800.0,200.0,1000.0,-3.74
52,900.0,200.0,1000.0,-4.56
53,1000.0,200.0,1000.0,-3.88
54,1100.0,200.0,1000.0,-4.58
55,1200.0,200.0,1000.0,-3.17
56,1300.0,200.0,1000.0,-5.67
57,1400.0,200.0,1000.0,-3.84
58,1500.0,200.0,1000.0,-5.13
59,1600.0,200.0,1000.0,-4.26
60,1700.0,200.0,1000.0,-1.04
61,1800.0,200.0,1000.0,-1.18
62,1900.0,200.0,1000.0,-2.50
63,2000.0,200.0,1000.0,-3.03
64,0.0,300.0,1000.0,-4.82
65,100.0,300.0,1000.0,-2.76
66,200.0,300.0,1000.0,-0.23
67,300.0,300.0,1000.0,-2.73
68,400.0,300.0,1000.0,-4.32
69,500.0,300.0,1000.0,-3.95
70,600.0,300.0,1000.0,-6.67
71,700.0,300.0,1000.0,-6.08
72,800.0,300.0,1000.0,-6.25
73,900.0,300.0,1000.0,-6.82
74,1000.0,300.0,1000.0,-6.08
75,1100.0,300.0,1000.0,-6.39
76,1200.0,300.0,1000.0,-5.68
77,1300.0,300.0,1000.0,-6.47
78,1400.0,300.0,1000.0,-4.21
79,1500.0,300.0,1000.0,-2.79
80,1600.0,300.0,1000.0,-4.73
81,1700.0,300.0,1000.0,-4.05
82,1800.0,300.0,1000.0,-1.31
83,1900.0,300.0,1000.0,-2.40
84,2000.0,300.0,1000.0,-0.45
85,0.0,400.0,1000.0,-2.65
86,100.0,400.0,1000.0,-1.24
87,200.0,400.0,1000.0,-3.19
88,300.0,400.0,1000.0,-3.84
89,400.0,400.0,1000.0,-3.49
90,500.0,400.0,1000.0,-6.56
91,600.0,400.0,1000.0,-8.43
92,700.0,400.0,1000.0,-9.28
93,800.0,400.0,1000.0,-9.60
94,900.0,400.0,1000.0,-12.49
95,1000.0,400.0,1000.0,-10.61
96,1100.0,400.0,1000.0,-11.46
97,1200.0,400.0,1000.0,-8.90
98,1300.0,400.0,1000.0,-11.22
99,1400.0,400.0,1000.0,-8.27
100,1500.0,400.0,1000.0,-7.88
101,1600.0,400.0,1000.0,-5.88
102,1700.0,400.0,1000.0,-3.85
103,1800.0,400.0,1000.0,-3.50
104,1900.0,400.0,1000.0,-2.95
105,2000.0,400.0,1000.0,-2.36
106,0.0,500.0,1000.0,-2.36
107,100.0,500.0,1000.0,-4.22
108,200.0,500.0,1000.0,-3.36
109,300.0,500.0,1000.0,-4.53
110,400.0,500.0,1000.0,-6.28
111,500.0,500.0,1000.0,-8.00
112,600.0,500.0,1000.0,-10.58
113,700.0,500.0,1000.0,-11.49
114,800.0,500.0,1000.0,-16.23
115,900.0,500.0,1000.0,-18.46
116,1000.0,500.0,1000.0,-19.67
117,1100.0,500.0,1000.0,-19.19
118,1200.0,500.0,1000.0,-17.39
119,1300.0,500.0,1000.0,-14.41
120,1400.0,500.0,1000.0,-10.95
121,1500.0,500.0,1000.0,-8.22
122,1600.0,500.0,1000.0,-6.62
123,1700.0,500.0,1000.0,-5.96
124,1800.0,500.0,1000.0,-3.17
125,1900.0,500.0,1000.0,-2.47
126,2000.0,500.0,1000.0,-2.72
127,0.0,600.0,1000.0,-3.55
128,100.0,600.0,1000.0,-3.15
129,200.0,600.0,1000.0,-4.62
130,300.0,600.0,1000.0,-7.79
131,400.0,600.0,1000.0,-8.54
132,500.0,600.0,1000.0,-11.14
133,600.0,600.0,1000.0,-16.24
134,700.0,600.0,1000.0,-20.10
135,800.0,600.0,1000.0,-27.19
136,900.0,600.0,1000.0,-28.95
137,1000.0,600.0,1000.0,-30.86
138,1100.0,600.0,1000.0,-30.54
139,1200.0,600.0,1000.0,-25.37
140,1300.0,600.0,1000.0,-22.70
141,1400.0,600.0,1000.0,-16.50
142,1500.0,600.0,1000.0,-11.70
143,1600.0,600.0,1000.0,-9.54
144,1700.0,600.0,1000.0,-5.63
145,1800.0,600.0,1000.0,-2.81
146,1900.0,600.0,1000.0,-4.88
147,2000.0,600.0,1000.0,-3.73
148,0.0,700.0,1000.0,-2.91
149,100.0,700.0,1000.0,-2.48
150,200.0,700.0,1000.0,-6.65
151,300.0,700.0,1000.0,-7.09
152,400.0,700.0,1000.0,-8.31
153,500.0,700.0,1000.0,-15.88
154,600.0,700.0,1000.0,-21.46
155,700.0,700.0,1000.0,-28.85
156,800.0,700.0,1000.0,-39.04
157,900.0,700.0,1000.0,-47.03
158,1000.0,700.0,1000.0,-51.58
159,1100.0,700.0,1000.0,-49.62
160,1200.0,700.0,1000.0,-38.00
161,1300.0,700.0,1000.0,-29.01
162,1400.0,700.0,1000.0,-18.91
163,1500.0,700.0,1000.0,-14.85
164,1600.0,700.0,1000.0,-10.77
165,1700.0,700.0,1000.0,-6.80
166,1800.0,700.0,1000.0,-4.66
167,1900.0,700.0,1000.0,-3.65
168,2000.0,700.0,1000.0,-4.83
169,0.0,800.0,1000.0,-2.74
170,100.0,800.0,1000.0,-5.33
171,200.0,800.0,1000.0,-5.52
172,300.0,800.0,1000.0,-9.31
173,400.0,800.0,1000.0,-10.62
174,500.0,800.0,1000.0,-16.70
175,600.0,800.0,1000.0,-24.47
176,700.0,800.0,1000.0,-33.05
177,800.0,800.0,1000.0,-47.08
178,900.0,800.0,1000.0,-60.94
179,1000.0,800.0,1000.0,-64.51
180,1100.0,800.0,1000.0,-60.77
181,1200.0,800.0,1000.0,-47.29
182,1300.0,800.0,1000.0,-33.49
183,1400.0,800.0,1000.0,-23.80
184,1500.0,800.0,1000.0,-15.42
185,1600.0,800.0,1000.0,-11.60
186,1700.0,800.0,1000.0,-8.30
187,1800.0,800.0,1000.0,-4.39
188,1900.0,800.0,1000.0,-5.34
189,2000.0,800.0,1000.0,-5.69
190,0.0,900.0,1000.0,-1.64
191,100.0,900.0,1000.0,-1.69
192,200.0,900.0,1000.0,-6.06
193,300.0,900.0,1000.0,-9.63
194,400.0,900.0,1000.0,-10.97
195,500.0,900.0,1000.0,-15.25
196,600.0,900.0,1000.0,-21.08
197,700.0,900.0,1000.0,-28.86
198,800.0,900.0,1000.0,-31.34
199,900.0,900.0,1000.0,-27.53
200,1000.0,900.0,1000.0,-24.28
201,1100.0,900.0,1000.0,-27.35
202,1200.0,900.0,1000.0,-29.86
203,1300.0,900.0,1000.0,-27.57
204,1400.0,900.0,1000.0,-21.23
205,1500.0,900.0,1000.0,-15.11
206,1600.0,900.0,1000.0,-10.05
207,1700.0,900.0,1000.0,-9.42
208,1800.0,900.0,1000.0,-5.49
209,1900.0,900.0,1000.0,-4.63
210,2000.0,900.0,1000.0,-1.40
211,0.0,1000.0,1000.0,-3.22
212,100.0,1000.0,1000.0,-2.24
213,200.0,1000.0,1000.0,-6.19
214,300.0,1000.0,1000.0,-6.08
215,400.0,1000.0,1000.0,-8.37
216,500.0,1000.0,1000.0,-11.78
217,600.0,1000.0,1000.0,-11.69
218,700.0,1000.0,1000.0,-5.14
219,800.0,1000.0,1000.0,18.58
220,900.0,1000.0,1000.0,73.16
221,1000.0,1000.0,1000.0,114.05
222,1100.0,1000.0,1000.0,73.95
223,1200.0,1000.0,1000.0,18.56
224,1300.0,1000.0,1000.0,-6.43
225,1400.0,1000.0,1000.0,-13.57
226,1500.0,1000.0,1000.0,-12.52
227,1600.0,1000.0,1000.0,-8.21
228,1700.0,1000.0,1000.0,-7.19
229,1800.0,1000.0,1000.0,-7.65
230,1900.0,1000.0,1000.0,-3.12
231,2000.0,1000.0,1000.0,-2.77
232,0.0,1100.0,1000.0,-3.40
233,100.0,1100.0,1000.0,-4.65
234,200.0,1100.0,1000.0,-3.30
235,300.0,1100.0,1000.0,-4.66
236,400.0,1100.0,1000.0,-3.28
237,500.0,1100.0,1000.0,-4.64
238,600.0,1100.0,1000.0,0.33
239,700.0,1100.0,1000.0,17.71
240,800.0,1100.0,1000.0,66.79
241,900.0,1100.0,1000.0,151.47
242,1000.0,1100.0,1000.0,205.49
243,1100.0,1100.0,1000.0,150.32
244,1200.0,1100.0,1000.0,65.54
245,1300.0,1100.0,1000.0,17.40
246,1400.0,1100.0,1000.0,0.73
247,1500.0,1100.0,1000.0,-3.56
248,1600.0,1100.0,1000.0,-6.12
249,1700.0,1100.0,1000.0,-5.43
250,1800.0,1100.0,1000.0,-3.82
251,1900.0,1100.0,1000.0,-3.58
252,2000.0,1100.0,1000.0,-1.73
253,0.0,1200.0,1000.0,-4.47
254,100.0,1200.0,1000.0,-3.45
255,200.0,1200.0,1000.0,-3.78
256,300.0,1200.0,1000.0,-5.46
257,400.0,1200.0,1000.0,-3.49
