station_id,easting,northing,elevation,bouguer_mgal,gravity_type
1,0.0,0.0,1000.0,0.0124,bouguer_anomaly
2,100.0,0.0,1000.0,0.0004,bouguer_anomaly
3,200.0,0.0,1000.0,0.0199,bouguer_anomaly
4,300.0,0.0,1000.0,0.0237,bouguer_anomaly
5,400.0,0.0,1000.0,-0.0033,bouguer_anomaly
6,500.0,0.0,1000.0,0.0052,bouguer_anomaly
7,600.0,0.0,1000.0,0.0215,bouguer_anomaly
8,700.0,0.0,1000.0,0.0189,bouguer_anomaly
9,800.0,0.0,1000.0,0.0234,bouguer_anomaly
10,900.0,0.0,1000.0,0.0160,bouguer_anomaly
11,1000.0,0.0,1000.0,0.0337,bouguer_anomaly
12,1100.0,0.0,1000.0,0.0323,bouguer_anomaly
13,1200.0,0.0,1000.0,0.0242,bouguer_anomaly
14,1300.0,0.0,1000.0,0.0334,bouguer_anomaly
15,1400.0,0.0,1000.0,0.0249,bouguer_anomaly
16,1500.0,0.0,1000.0,0.0097,bouguer_anomaly
17,1600.0,0.0,1000.0,0.0199,bouguer_anomaly
18,1700.0,0.0,1000.0,0.0047,bouguer_anomaly
19,1800.0,0.0,1000.0,0.0212,bouguer_anomaly
20,1900.0,0.0,1000.0,0.0103,bouguer_anomaly
21,2000.0,0.0,1000.0,0.0075,bouguer_anomaly
22,0.0,100.0,1000.0,0.0040,bouguer_anomaly
23,100.0,100.0,1000.0,0.0249,bouguer_anomaly
24,200.0,100.0,1000.0,0.0133,bouguer_anomaly
25,300.0,100.0,1000.0,0.0130,bouguer_anomaly
26,400.0,100.0,1000.0,0.0165,bouguer_anomaly
27,500.0,100.0,1000.0,0.0283,bouguer_anomaly
28,600.0,100.0,1000.0,0.0296,bouguer_anomaly
29,700.0,100.0,1000.0,0.0329,bouguer_anomaly
30,800.0,100.0,1000.0,0.0354,bouguer_anomaly
31,900.0,100.0,1000.0,0.0540,bouguer_anomaly
32,1000.0,100.0,1000.0,0.0291,bouguer_anomaly
33,1100.0,100.0,1000.0,0.0275,bouguer_anomaly
34,1200.0,100.0,1000.0,0.0229,bouguer_anomaly
35,1300.0,100.0,1000.0,0.0349,bouguer_anomaly
36,1400.0,100.0,1000.0,0.0372,bouguer_anomaly
37,1500.0,100.0,1000.0,0.0218,bouguer_anomaly
38,1600.0,100.0,1000.0,0.0116,bouguer_anomaly
39,1700.0,100.0,1000.0,0.0090,bouguer_anomaly
40,1800.0,100.0,1000.0,0.0213,bouguer_anomaly
41,1900.0,100.0,1000.0,0.0201,bouguer_anomaly
42,2000.0,100.0,1000.0,0.0162,bouguer_anomaly
43,0.0,200.0,1000.0,0.0058,bouguer_anomaly
44,100.0,200.0,1000.0,0.0171,bouguer_anomaly
45,200.0,200.0,1000.0,0.0188,bouguer_anomaly
46,300.0,200.0,1000.0,0.0232,bouguer_anomaly
47,400.0,200.0,1000.0,0.0336,bouguer_anomaly
48,500.0,200.0,1000.0,0.0314,bouguer_anomaly
49,600.0,200.0,1000.0,0.0405,bouguer_anomaly
50,700.0,200.0,1000.0,0.0388,bouguer_anomaly
51,800.0,200.0,1000.0,0.0448,bouguer_anomaly
52,900.0,200.0,1000.0,0.0508,bouguer_anomaly
53,1000.0,200.0,1000.0,0.0308,bouguer_anomaly
54,1100.0,200.0,1000.0,0.0413,bouguer_anomaly
55,1200.0,200.0,1000.0,0.0372,bouguer_anomaly
56,1300.0,200.0,1000.0,0.0317,bouguer_anomaly
57,1400.0,200.0,1000.0,0.0310,bouguer_anomaly
58,1500.0,200.0,1000.0,0.0441,bouguer_anomaly
59,1600.0,200.0,1000.0,0.0162,bouguer_anomaly
60,1700.0,200.0,1000.0,0.0307,bouguer_anomaly
61,1800.0,200.0,1000.0,0.0008,bouguer_anomaly
62,1900.0,200.0,1000.0,0.0115,bouguer_anomaly
63,2000.0,200.0,1000.0,0.0141,bouguer_anomaly
64,0.0,300.0,1000.0,0.0201,bouguer_anomaly
65,100.0,300.0,1000.0,0.0244,bouguer_anomaly
66,200.0,300.0,1000.0,0.0289,bouguer_anomaly
67,300.0,300.0,1000.0,0.0221,bouguer_anomaly
68,400.0,300.0,1000.0,0.0264,bouguer_anomaly
69,500.0,300.0,1000.0,0.0460,bouguer_anomaly
70,600.0,300.0,1000.0,0.0426,bouguer_anomaly
71,700.0,300.0,1000.0,0.0389,bouguer_anomaly
72,800.0,300.0,1000.0,0.0466,bouguer_anomaly
73,900.0,300.0,1000.0,0.0533,bouguer_anomaly
74,1000.0,300.0,1000.0,0.0691,bouguer_anomaly
75,1100.0,300.0,1000.0,0.0639,bouguer_anomaly
76,1200.0,300.0,1000.0,0.0649,bouguer_anomaly
77,1300.0,300.0,1000.0,0.0473,bouguer_anomaly
78,1400.0,300.0,1000.0,0.0461,bouguer_anomaly
79,1500.0,300.0,1000.0,0.0437,bouguer_anomaly
80,1600.0,300.0,1000.0,0.0280,bouguer_anomaly
