easting,northing,elevation,bouguer_anomaly,unit
120.00,320.00,426.84040,-0.87311,mGal
160.00,320.00,426.93770,-1.17402,mGal
200.00,320.00,426.99530,-1.48148,mGal
240.00,320.00,427.00490,-1.72378,mGal
280.00,320.00,427.00670,-1.88489,mGal
320.00,320.00,427.00780,-1.96272,mGal
360.00,320.00,426.95300,-1.96194,mGal
400.00,320.00,426.82470,-1.96212,mGal
440.00,320.00,427.02670,-1.96118,mGal
480.00,320.00,428.69540,-1.63051,mGal
520.00,320.00,430.12010,-1.14873,mGal
560.00,320.00,433.34430,-0.69711,mGal
600.00,320.00,434.89470,-0.41865,mGal
0.00,360.00,430.76600,-0.32066,mGal
40.00,360.00,429.32180,-0.41587,mGal
80.00,360.00,427.29230,-0.54442,mGal
120.00,360.00,426.89260,-0.71666,mGal
160.00,360.00,426.91770,-0.93554,mGal
200.00,360.00,426.98930,-1.18767,mGal
240.00,360.00,427.00760,-1.44082,mGal
280.00,360.00,427.00660,-1.64259,mGal
320.00,360.00,427.01370,-1.75854,mGal
360.00,360.00,426.95490,-1.80344,mGal
400.00,360.00,426.79660,-1.81680,mGal
440.00,360.00,427.01150,-1.71372,mGal
480.00,360.00,428.79240,-1.42587,mGal
520.00,360.00,430.31700,-1.02860,mGal
560.00,360.00,433.77570,-0.64022,mGal
600.00,360.00,435.47550,-0.40174,mGal
0.00,400.00,430.86160,-0.28089,mGal
40.00,400.00,429.45480,-0.35524,mGal
80.00,400.00,427.42800,-0.45089,mGal
120.00,400.00,426.96950,-0.57349,mGal
160.00,400.00,426.91330,-0.72561,mGal
200.00,400.00,426.98140,-0.91086,mGal
240.00,400.00,427.00700,-1.12686,mGal
280.00,400.00,427.01170,-1.32040,mGal
320.00,400.00,427.01610,-1.43016,mGal
360.00,400.00,426.96230,-1.48958,mGal
400.00,400.00,426.77630,-1.53687,mGal
440.00,400.00,426.99150,-1.46089,mGal
480.00,400.00,428.86200,-1.23480,mGal
520.00,400.00,430.46290,-0.90038,mGal
560.00,400.00,434.13880,-0.55561,mGal
600.00,400.00,435.95870,-0.36202,mGal
0.00,440.00,431.10820,-0.24206,mGal
40.00,440.00,429.70590,-0.29867,mGal
80.00,440.00,427.62170,-0.36821,mGal
120.00,440.00,427.09870,-0.45403,mGal
160.00,440.00,426.90640,-0.55737,mGal
200.00,440.00,426.96920,-0.68289,mGal
240.00,440.00,427.01320,-0.83696,mGal
280.00,440.00,427.01420,-0.98707,mGal
320.00,440.00,427.00580,-1.06639,mGal
360.00,440.00,426.91970,-1.11669,mGal
400.00,440.00,426.72120,-1.18664,mGal
440.00,440.00,426.99980,-1.17590,mGal
480.00,440.00,429.12970,-1.02016,mGal
520.00,440.00,430.88620,-0.71522,mGal
560.00,440.00,435.02880,-0.45658,mGal
600.00,440.00,437.16190,-0.31213,mGal
0.00,480.00,431.22770,-0.20623,mGal
40.00,480.00,429.81700,-0.24864,mGal
80.00,480.00,427.67630,-0.29855,mGal
120.00,480.00,427.12360,-0.35805,mGal
160.00,480.00,426.90530,-0.42680,mGal
200.00,480.00,426.96240,-0.50595,mGal
240.00,480.00,427.01700,-0.59569,mGal
280.00,480.00,427.02250,-0.68042,mGal
320.00,480.00,426.99770,-0.73295,mGal
360.00,480.00,426.90940,-0.76765,mGal
400.00,480.00,426.68670,-0.80038,mGal
440.00,480.00,426.98480,-0.77768,mGal
480.00,480.00,429.32290,-0.66711,mGal
520.00,480.00,431.19660,-0.49178,mGal
560.00,480.00,435.58090,-0.35222,mGal
600.00,480.00,437.83900,-0.25840,mGal
0.00,520.00,431.32850,-0.17450,mGal
40.00,520.00,429.97370,-0.20603,mGal
80.00,520.00,427.79360,-0.24160,mGal
120.00,520.00,427.15920,-0.28263,mGal
160.00,520.00,426.87570,-0.32793,mGal
200.00,520.00,426.94050,-0.37671,mGal
240.00,520.00,427.01920,-0.42647,mGal
280.00,520.00,427.02640,-0.47091,mGal
320.00,520.00,426.96160,-0.50280,mGal
360.00,520.00,426.84440,-0.52116,mGal
400.00,520.00,426.70240,-0.51995,mGal
440.00,520.00,427.09700,-0.48266,mGal
480.00,520.00,429.74930,-0.41745,mGal
520.00,520.00,431.89670,-0.33837,mGal
560.00,520.00,436.88020,-0.26851,mGal
600.00,520.00,439.34670,-0.21061,mGal
0.00,560.00,431.42260,-0.14715,mGal
40.00,560.00,430.06550,-0.17045,mGal
80.00,560.00,427.93960,-0.19580,mGal
120.00,560.00,427.26240,-0.22415,mGal
160.00,560.00,426.86670,-0.25411,mGal
200.00,560.00,426.92660,-0.28476,mGal
240.00,560.00,427.01790,-0.31400,mGal
280.00,560.00,427.01070,-0.33908,mGal
320.00,560.00,426.90130,-0.35707,mGal
360.00,560.00,426.80270,-0.36455,mGal
400.00,560.00,426.89150,-0.35536,mGal
440.00,560.00,427.46830,-0.32692,mGal
480.00,560.00,430.36570,-0.28928,mGal
520.00,560.00,432.58590,-0.24628,mGal
560.00,560.00,437.98190,-0.20765,mGal
600.00,560.00,440.72030,-0.17126,mGal
0.00,600.00,431.41630,-0.12392,mGal
40.00,600.00,430.11480,-0.14116,mGal
80.00,600.00,428.01590,-0.15925,mGal
120.00,600.00,427.32630,-0.17896,mGal
160.00,600.00,426.87540,-0.19902,mGal
200.00,600.00,426.92660,-0.21875,mGal
240.00,600.00,427.01340,-0.23665,mGal
280.00,600.00,427.00060,-0.25117,mGal
320.00,600.00,426.87720,-0.26049,mGal
360.00,600.00,426.80830,-0.26210,mGal
400.00,600.00,427.06670,-0.25331,mGal
440.00,600.00,427.76710,-0.23476,mGal
480.00,600.00,430.77180,-0.21241,mGal
520.00,600.00,432.95510,-0.18658,mGal
560.00,600.00,438.28080,-0.16323,mGal
600.00,600.00,441.07430,-0.13947,mGal
